List of Valid Insurance Brokers as on 15.05.2021,,,,,,,,,,
Sl No,"Certificate of 
Registration No.",,Name of the Broker,Address,Phone No,Category of Broker,Principal Officer,Validity of license,,PO E-Maild Id
390,630,,3 Dimensional Insurance Brokers India Private Limited,LIG 142 FIRST FLOOR SARITA VIHAR  SOUTH DELHI NEW DELHI SOUTH DELHI 110076,7045664475,Composite Broker,Neeraj Batra,16-Nov-2020,15-Nov-2023,aishwarya@3di.co.in
391,631,,"MKT INSURANCE BROKERS PVT. LTD.,","CTS NO. 8021/1, 8021/2 8022/5, Flat No. 61 , Gauhar Heights  Angooribag, Aurangabad AURANGABAD AURANGABAD 431001",9422216080,Direct Broker (General),BALKRISHNA RADHUJI JADHAV,16-Nov-2020,15-Nov-2023,mktinsurancebrokers@gmail.com
392,632,,Indus Insurance Broking LLP,NIL NIL  NIL     400099,9100000000,Direct Broker (Life & General),RAM GOPAL SHARMA,16-Nov-2020,15-Nov-2023,po_indusib@indusib.com
393,633,,Myanmol Insurance Brokers LLP,NO 35 33rd cross  Victoria Layout BANGALORE SOUTH BANGALORE 560047,9738510690,Direct Broker (General),Ravindranath Kannan,29-Nov-2020,28-Nov-2023,info@myanmolinsurance.com
394,634,,Gramcover Insurance Brokers Private Limited,"No.109 Kusal Bazaar, 32-33  Nehru Place NEW DELHI SOUTH WEST DELHI 110019",1206831300,Composite Broker,Parveen Kumar Bhagat,11-Dec-2020,10-Dec-2023,vikas.mahajan@gramcover.com
395,635,,APARYS INSURANCE BROKING LLP,"123, 5A, SANJAY BUILDING MITTAL INDUSTRIAL ESTATE, SIR M V ROAD  ANDHERI EAST MUMBAI MUMBAI 400059",9820684968,Direct Broker (Life & General),PARAG RAJE,13-Dec-2020,12-Dec-2023,aparys@aparys.com
396,636,,NAIK INSURANCE BROKING PRIVATE LIMITED,"107,D Definity Premises  Jay Prakash Road No. 1 Goregaon East GOREGAON EAST MUMBAI 400063",9820452137,Direct Broker (Life & General),PRAMOD K KULKARNI,15-Dec-2020,14-Dec-2023,nikhilnaik777@gmail.com
397,637,,HOARD INSURANCE BROKERS LLP,"E305 FF SUSHANT SHOPPING ARCADE SUSHANT LOK-1,GURGAON, HARYANA  NIL GURGAON GURGAON 122002",9311810404,Direct Broker (General),AMIT SETHI,04-Jan-2021,03-Jan-2024,po.hoardinsurance@gmail.com
398,638,,MILLENNIALS INSURANCE BROKERS PRIVATE LIMITED,"570, Tower B, Spaze IT Park, Sohna Road Sector 49  Gurgaon GURGAON GURGAON 122001",9910385956,Direct Broker (Life & General),Jitendra Girdhar,05-Mar-2021,04-Mar-2024,jitendra.girdhar@milbinsure.com
399,639,,ARRON INSURANCE BROKERS PRIVATE LIMITED,"B 711 Mondeal Height Opp Karnavati Club, NEar Novovtel Hotel  S G Highway AHMEDABAD AHMEDABAD 380015",7227007111,Direct Broker (Life & General),Ramesh Patel,07-Mar-2021,06-Mar-2024,accounts@arron.in
400,640,,WELLBE INSURANCE BROKERS (INDIA) PRIVATE LIMITED,PLOT NO 10 5TH FLOOR  SECTOR 44 GURGAON GURGAON 122003,+91-9211257711,Direct Broker (General),Nand Kishore Bhasin,02-Apr-2021,01-Apr-2024,jitenderrdeo@gmail.com
401,641,,ANIB-ESSEL INSURANCE BROKERS PRIVATE LIMITED,"B3 Vignesh Villa New No 68 (Old no 56)  7th Avenue, Ashok Nagar Chennai CHENNAI CITY CORPORATION CHENNAI 600083",7358314293,Direct Broker (Life & General),Mahendran K,24-Apr-2021,23-Apr-2024,mahendran@anibessel.com
402,642,,LOGIC INSURANCE BROKERS PRIVATE LIMITED,"134 FIE, PATPAR GANJ OPPSITE HASANPUR DEPOT  EAST DELHI DELHI EAST EAST DELHI 110092",7009329423,Direct Broker (Life & General),SUDARSHAN KUMAR VERMA,01-May-2021,30-Apr-2024,logicinsurancebrokers@gmail.com
403,643,,SUYASH INSURANCE BROKING LLP,B-50 1ST FLR. COTTON EXCHANGE BLDG  COTTON GREEN MUMBAI MUMBAI 400033,9820684988,Direct Broker (General),Rathin Varaiya,03-May-2021,02-May-2024,po.suyashinsurancebrokingllp@gmail.com
404,644,,PARV INSURANCE BROKERS PRIVATE LIMITED,B-I-824/1 Main Bindraban Road  Civil Lines LUDHIANA LUDHIANA 141001,9478071929,Direct Broker (General),Kewal Singh,06-Jun-2021,05-Jun-2024,parvinsurancebrokers@gmail.com
405,645,,VRDDHI INSURANCE BROKING SERVICES INDIA PVT LTD,"#202, B.NO:M25, 10th Main Road, Jeevanbhima Nagar  LIC Colony BANGALORE BANGALORE 560075",9448228814,Direct Broker (General),Balachandra Krishna Hegde,25-Jun-2018,24-Jun-2021,bkhegdenic@gmail.com
406,646,,AHI INSURANCE BROKING PRIVATE LIMITED,"35th, Saki Vihar Road Off Chandivali Road  Andheri East MUMBAI MUMBAI 400072",9223231758,Direct Broker (Life & General),CHINTAN MEHTA,29-Jun-2018,28-Jun-2021,po@ahiinsure.co.in
407,647,,POLICYWOW INSURANCE BROKING PRIVATE LIMITED,"12/14-12/15, Site-4, Pioneer Complex, Sahibabad Industrial Area  Ghaziabad GHAZIABAD GHAZIABAD 201010",01206771031,Direct Broker (Life & General),MUKUL GARG,17-Jul-2018,16-Jul-2021,umashankar@hariommedia.com
408,648,,Pinewood Insurance Brokers Private Limited,"15, Khokhar Complex, New Officers Colony Patiala  Patiala PATIALA PATIALA 147001",1755201111,Direct Broker (General),Inderjit Singh Sidhu,25-Jul-2018,24-Jul-2021,pinewood.ins@gmail.com
409,649,,HERO INSURANCE BROKING INDIA PRIVATE LIMITED,Plot No 264 Okhla Industrial Estate  Phase - III SOUTH DELHI SOUTH DELHI 110020,9892452525,Direct Broker (Life & General),Sanjay Radhakrishnan,26-Jul-2018,25-Jul-2021,compliance@heroibil.com
410,650,,GOLDEN M P INSURANCE BROKERS PRIVATE LIMITED,"GOLDEN M. P. INSUANCE BROKERS PVT. LTD. B-623,FF, GREEN FIELD COLONY GATE NO-7  MALL ROAD FARIDABAD FARIDABAD 121003",9582227404,Direct Broker (Life & General),POONAM GANDHI,03-Sep-2018,02-Sep-2021,insurance@gmpgroup.in
411,651,,O J INSURANCE BROKERS PVT. LTD.,"904, Mercantile House K G Marg  New Delhi DELHI CENTRAL DELHI 110001",9711071882,Direct Broker (Life & General),MR. DEVENDRA PRAKASH SAXENA,25-Sep-2018,24-Sep-2021,ojinsurance@gmail.com
412,652,,KRISHIV INSURANCE BROKING LLP,"Ground Floor, Dheeraj Sagar Building Link Road, Malad (West)  Mumbai, Maharashtra MUMBAI MUMBAI 400064",8291914810,Direct Broker (General),R. Ganesan,10-Dec-2018,09-Dec-2021,krganesan@krishivinsurance.com
413,653,,SPEARHEAD INSURANCE BROKING PRIVATE LIMITED,SRIPAD 1st FLOOR CYBER HILLS COLONY  GACHIBOWLI HYDERABAD HYDERABAD 500032,9581882922,Direct Broker (Life & General),Suresh Kumar Pitta,14-Dec-2018,13-Dec-2021,sureshkp2002@gmail.com
414,654,,Arrow Re-Insurance Broker Pvt. Ltd.,"B-4/11, 2nd Floor Rajouri Garden   NEW DELHI CENTRAL DELHI 110027",9759498309,Reinsurance Broker,Mr Manoj Gupta,29-Apr-2019,28-Apr-2022,arrowre@hotmail.com
415,662,,LMV Insurance Broking Services Private Limited,"H NO 6-3-899/1, 2ND FLOOR RVS KAMALA CASTLE RAJ BHAWAN ROAD, SOMAJIGUDA        ",9493326920,Direct Broker (Life & General),Lakshminarasimha Reddy Bhumireddy,31-May-2018,30-May-2021,manoj143varma@gmail.com
416,663,,Policy Parivaar Insurance Brokers Private Limited,"570/2 First Floor, Hotel Planet Grande Office Complex  Teynampet CHENNAI CHENNAI 600018",9944754551,Direct Broker (Life & General),M V VIJAYAN,29-Aug-2018,28-Aug-2021,ra.dhandapani@gmail.com
417,664,,BLUEBELLS INSURANCE BROKING PRIVATE LIMITED,B-2202 LODHA IMPERIA TANK ROAD  BHANDUP WEST MUMBAI MUMBAI 400078,7738050429,Direct Broker (Life & General),SUTAPA PRASAD,10-Sep-2018,09-Sep-2021,po.bluebellsib@gmail.com
418,665,,SS Insurance Brokers Private Limited,"A-3/32 Sector-3  Rohini, New Delhi-110085 DELHI NORTH WEST DELHI 110085",1147000761,Direct Broker (Life & General),KAMLESH KUMAR GUPTA,15-Nov-2018,14-Nov-2021,po@ssinsurancebroker.com
419,666,,DISHA CAPITAL INSURANCE BROKERS PRIVATE LIMITED,1404A CHIRANJIV TOWER  NEHRU PLACE SOUTH DELHI SOUTH DELHI 110019,9958808641,Direct Broker (Life & General),TARUN SHARMA,06-Dec-2018,05-Dec-2021,dishainsurancebrokers@gmail.com
420,667,,INNOWORKS INSUREXPRESS INSURANCE BROKING PVT LTD,"PLOT NUMBER 52&53 , 2ND FLOOR ABOVE ANDHRABANK BALAJI NAGAR,  KUKATPALLY HYDERABAD HYDERABAD 500072",4048564655,Direct Broker (Life & General),Ravikanth Rachaputi,14-Dec-2018,13-Dec-2021,rrachaputi@gmail.com
421,668,,ARYAV INSURANCE BROKING PRIVATE LIMITED,"1ST FLOOR UNIT 104  MERLIN CHAMBERS, 18 BRITISH INDIA STREET CALCUTTA CALCUTTA 700069",9830087001,Direct Broker (Life & General),NEHA SURANA,14-Dec-2018,13-Dec-2021,info@aryavinsurance.com
422,669,,INSHORA RISK ADVISORY AND INSURANCE BROKING PVT LTD,"D-484, 2nd Floor Palam Extension  Sector 7, Dwarka NEW DELHI WEST DELHI 110077",9811994580,Direct Broker (Life & General),ANJU PUNETHA,02-Jan-2019,01-Jan-2022,info@inshoracover.com
423,670,,Groupfit Insurance Brokers Private Limited,"B 13, 2nd Floor Subhash Chowk  Laxmi Nagar DELHI EAST EAST DELHI 110092",9769993966,Direct Broker (Life & General),ASHWANI KUMAR,02-Jan-2019,01-Jan-2022,dadasaheb.pagare@groupbima.com
424,671,,SUVISION INSURANCE BROKERS PRIVATE LIMITED,"No. 50 Vinay Arcade 4th Floor  K H Road, Shanthinagar BANGALORE SOUTH BANGALORE 560027",9342856694,Direct Broker (Life & General),Siddharth Mehra,12-Feb-2019,11-Feb-2022,po@indianmoney.com
425,673,,Insure First Insurance Brokers LLP,"Insure First Insurance Brokers R.No.7E, Mani Square Mall  164/1 Manicktala Main Road 24 PGS NORTH NORTH 24 PARGANAS 700054",9830255915,Direct Broker (Life & General),Aparajit Bhattacharya,28-Mar-2019,27-Mar-2022,aparajit.b@insurefirst.co.in
426,674,,MIALTUS INSURANCE BROKING PRIVATE LIMITED,"Plot:96 Flat:1Floor:1 Shaashvaat Bunglow,  34 Bhagatsingh Road, Vile Parle(W), MUMBAI MUMBAI 400056",9967990008,Direct Broker (Life & General),VIDYA APURVA BHUTA,28-Mar-2019,27-Mar-2022,po@mialtus.in
427,675,,NOVO INSURANCE BROKING SERVICES PRIVATE LIMITED,"Plot No. 120 & 122 First floor, Block III, White House, 6-3-1192/1/1  Kundanbagh, Begumpet, Hyderabad, Telangana HYDERABAD HYDERABAD 500016",9247170084,Direct Broker (General),SYAM BABU PILLI,24-Apr-2019,23-Apr-2022,l.vidhwanth.reddy@gmail.com
428,676,,Valley Insurance Brokers Private Limited,"Masjid Complex Room 2 Second Floor, Gole Market  Karan Nagar, Srinagar SRINAGAR SRINAGAR 190010",,Direct Broker (Life & General),Afaq Nazir Zargar,01-Jul-2019,30-Jun-2022,afaq.zargar@gmail.com
429,677,,Lifemart Insurance Brokers Pvt Ltd,"5,INDERMOHINI LINKING ROAD EXTENSION,SANTACRUZ WEST  MUMBAI MUMBAI MUMBAI 400072",9820062172,Direct Broker (Life & General),NEERAJ VANJANI,13-Aug-2019,12-Aug-2022,neeraj.vanjani@gmail.com
430,678,,RD&A INSURANCE BROKING SERVICES PVT LTD,49/90A PGM SHAH ROAD KOLKATA 700033   CALCUTTA CALCUTTA 700033,9830175450,Direct Broker (General),DHRITIPRIYA RAYDASGUPTA,21-Sep-2019,20-Sep-2022,po.rdainsbroking@gmail.com
431,679,,COLOUR FUNDS INSURANCE BROKINGS PRIVATE LIMITED,"No.191/1,Panimalar Complex perundurai Road  Palayapalayam ERODE ERODE 638011",9443019660,Direct Broker (Life & General),S SUDHAKAR,23-Sep-2019,22-Sep-2022,sudhakar@colourfundsinsure.com
432,680,,PRISHA INSURANCE BROKERS PRIVATE LIMITED,LG 27 C SUSHANT SHOPPING ARCADE  SUSHANT LOK-1 GURGAON GURGAON 122001,,Direct Broker (Life & General),CHHITAR MAL JAIN,03-Oct-2019,02-Oct-2022,po_pip@rediffmail.com
433,681,,POLICY MASTER INSURANCE BROKERS PVT LTD,"B-09, OFFICE 804, ITL TWIN TOWER  NETAJI SUBHASH PLACE DELHI NORTH NORTH WEST DELHI 110034",9311599975,Direct Broker (Life & General),DIPIKA ARORA,28-Oct-2019,27-Oct-2022,info@policymaster.com
434,682,,Meek Insurance Brokers Private Limited,"4-D,Indraprastha Appt 111/07 Harsh nagar  Kanpur     208012",8779949029,Direct Broker (General),Kamal Singh,19-Nov-2019,18-Nov-2022,meekinsuranceindia@gmail.com
435,683,,GWC INDIA INSURANCE BROKING PRIVATE LIMITED,Ground Floor No 9 Masha Allah Building Bheema Sena Garden Street  Mylapore CHENNAI CHENNAI 600004,9842403272,Direct Broker (Life & General),MR.T.A.DEV,19-Nov-2019,18-Nov-2022,poinsurance@gwcindia.in
436,684,,NAVINCHANDRA INSURANCE BROKING PRIVATE LIMITED,"801, Gunjan Tower, Alembic Gorwa Road, Subhanpura,  Vadodara MUMBAI MUMBAI 390023",9999286005,Direct Broker (Life & General),PUTUL KUMAR,19-Nov-2019,18-Nov-2022,mihir@buybestpolicy.com
437,685,,AMOS L&C INSURANCE BROKERS PRIVATE LIMITED,"603, Sunrise Business Park, S. G. Barve Road No. 16,Nehru Nagar, Wagle Industrial Estate,  Thane (West) THANE THANE 400604",8369977079,Direct Broker (General),Sanjay More,25-Nov-2019,24-Nov-2022,sanjay@amosinsurance.in
438,686,,SJ INSURANCE BROKERS PRIVATE LIMITED,NA NA  NA NEW DELHI CENTRAL DELHI 110058,9811081777,Direct Broker (General),Vishwanath K Shetty,18-Dec-2019,17-Dec-2022,sjinsurancebrokers@gmail.com
439,687,,SIMACES INSURANCE BROKERS PRIVATE LIMITED,595 BUDHWAR PETH Pune  Pune PUNE PUNE 411002,9322663255,Direct Broker (Life & General),ROSHAN THAPA,28-Dec-2019,27-Dec-2022,roshan.thapa@simacesinsurance.in
440,688,,Arihant Insurance Broking Services Limited,E/5 Ratlam Kothi   INDORE INDORE 452001,7869955851,Direct Broker (Life & General),Vinay Jain,26-Dec-2019,25-Dec-2022,mahesh.pancholi@arihantcapital.com
441,689,,APIS NANDI INSURANCE BROKERS PRIVATE LIMITED,"806, SUNEJA TOWER II DISTT CENTRE, JANAK PURI  JANAKPURI South West Delhi,Delhi, 110058 NEW DELHI SOUTH WEST SOUTH WEST DELHI 110058",9810720734,Direct Broker (Life & General),Sanjiv Kumar Dobhal,26-Dec-2019,25-Dec-2022,principalofficer@apisnandi.in
442,690,,RRHLK INSURANCE BROKING SERVICES PVT LTD,"SUIT NO 4 SANKET CHS NEAR HDFC BANK  MAHAVIR NAGAR,KANDIVALI WEST MUMBAI KANDIVALI WEST MUMBAI 400067",9930934006,Direct Broker (General),FALGUNI SAMIR SHAH,26-Dec-2019,25-Dec-2022,rrhlk.broking@gmail.com
443,691,,Aegis Insurance Brokers Private Limited,First floor S K Towers  Karamana THIRUVANANTHAPURAM THIRUVANANTHAPURAM 695002,9447094737,Direct Broker (Life & General),VISHNU KUMAR.K,26-Dec-2019,25-Dec-2022,aegisinsurancebrokers@gmail.com
444,692,,Share India Insurance Brokers Private Limited,"No.14 Dayanand Vihar  Delhi East, Delhi - 110092 DELHI EAST EAST DELHI 110092",1143011000,Direct Broker (Life & General),Ajaykumar Maganlal Patel,26-Dec-2019,25-Dec-2022,ajaypatel@shareindia.co.in
445,693,,BLUE TREE GLOBAL INSURANCE BROKERS PRIVATE LIMITED,"577/B, 4th Floor, Rupena Agrahara, Teachers Colony, HSR Layout,  Sector-6, Bangalore BANGALORE BANGALORE 560102",9980355300,Direct Broker (General),NITISH KUMAR,26-Dec-2019,25-Dec-2022,nitish@bluetreeglobal.com
446,694,,INSUGO INSURANCE BROKERS PRIVATED LIMITED,INSUGO INSURANCE BROKERS PVT LTD 402 bliss castle slipa layout road no 2  khanamet HYDERABAD HYDERABAD 500084,7799700582,Direct Broker (Life & General),PABBATHI SYAM SUNDAR,28-Dec-2019,27-Dec-2022,po.insugoinsurancebrokers@gmail.com
447,695,,MYRIAD INSURANCE BROKERS LIMITED,307 DAMJI SHAMJI CORP.SQ. LAXMI NAGAR  GHATKOPAR EAST MUMBAI CITY EAST MUMBAI 400075,,Direct Broker (Life & General),RAHUL VIKRAM JAIN,30-Dec-2019,29-Dec-2022,myriadinsurancebrokers@gmail.com
448,696,,BSE EBIX INSURANCE BROKING PRIVATE LIMITED,25 P J  Towers Dalal Street  Fort MUMBAI MUMBAI 400001,0222721111,Direct Broker (Life & General),SANJAY KUMAR,31-Dec-2019,30-Dec-2022,sanjay.kumar@bseindia.com
449,697,,Unlimit Insurance Broker India Pvt. Ltd.,Alka Singh W/o Arvind Kumar Rai Shiv Nagar Colony  Chandpur Varanasi VARANASI VARANASI 221010,7777039299,Direct Broker (Life & General),Bibekananda Misra,03-Jan-2020,02-Jan-2023,po@policypanda.in
450,698,,ZFINCA Insurance Brokers Pvt Ltd,"2nd Floor, Gokul Tower VIP Estate,  Khamahrdih, Raipur (C.G.) RAIPUR RAIPUR 492001",7714013894,Direct Broker (Life & General),Jogendra Nath Mondal,03-Jan-2020,02-Jan-2023,anujgupta8704@gmail.com
451,699,,Glide Insurance Broking Services Pvt Ltd,"6-3-252/2/6,PRATHIMA HOUSE ERRAMANZIL   HYDERABAD HYDERABAD 500082",8884499506,Direct Broker (Life & General),J Panduranga Rao,12-Feb-2020,11-Feb-2023,poglide@gmail.com
452,700,,Paytm Insurance Broking Private Limited,"136, 1st Floor, Devika Tower Nehru Place  New Delhi South Delhi, India, 110019 NEW DELHI NEW DELHI 110019",8826633356,Direct Broker (Life & General),Ravinder Kumar Gupta,17-Feb-2020,16-Feb-2023,compliance@paytminsurance.co.in
453,701,,SANA INSURANCE BROKERS PRIVATE LIMITED,PLOT56 INDO ASIA HOUSE  SECTOR 44 GURGAON GURGAON 122002,9810112434,Direct Broker (General),ANIL KUMAR SHARMA,17-Feb-2020,16-Feb-2023,srinath.mukherji@gmail.com
454,702,,LORDS INSURANCE BROKERS LLP,"UNIT NO 511, 5TH FLOOR PAREKH MARKET, KENNEDY BRIDGE  OPERA HOUSE , MUMBAI MUMBAI MUMBAI 400004",9137045020,Direct Broker (General),SHILPA SOHIN PUROHIT,02-Apr-2020,01-Apr-2023,lordsinsurancebrokers@gmail.com
455,703,,VACHAN INSURANCE BROKING PRIVATE LIMITED,2-14/61/4F PLOT NO. 61  SILPA HILLS HYDERABAD HYDERABAD 500084,9390566606,Direct Broker (Life & General),S.D.PADMANABHAN,17-Apr-2020,16-Apr-2023,seelampadmanabhan@yahoo.com
456,704,,ORANGE CAPITAL INSURANCE BROKING PRIVATE LIMITED,GROUND FLOOR S-145 UPPAL SOUTH END SOHNA ROAD SECTOR 49 GURGAON  GURGAON DLF PH-II GURGAON 122008,9999482922,Direct Broker (Life & General),DEEPAK ARORA,17-Apr-2020,16-Apr-2023,principalofficer.orangecapital@gmail.com
457,705,,RTECH INSURANCE BROKER PRIVATE LIMITED,"Office No. 405 4th floor, Nego Complex  Pakhowal Road LUDHIANA LUDHIANA 141001",7087422599,Direct Broker (General),Mr. Surendra Kumar Sofat,26-Apr-2020,25-Apr-2023,rtech.insurance.brokers@gmail.com
458,706,,Yella Insurance Broking Private Limited,"2nd Floor 36/3120,MARIAM TOWER  K K Road,Kathrikadavu,Cochin KOCHI ERNAKULAM 682017",4844037917,Direct Broker (Life & General),K.H. DEVAKI,26-Apr-2020,25-Apr-2023,yellapolicy@gmail.com
459,707,,ELITEGENERAL INSURANCE BROKERS PRIVATE LIMITED,4th Floor Vishnu Complex Opp Rahate Hospital CA Road  Near Telephone Exchange NAGPUR NAGPUR 440008,9881128301,Direct Broker (General),ADITYA BHABHDA,01-May-2020,30-Apr-2023,adityarbhabhda@gmail.com
460,708,,A2V INSURANCE BROKERS PRIVATE LIMITED,No. 456 Behra Enclave  Paschim Vihar NEW DELHI WEST DELHI 110087,9971500192,Direct Broker (Life & General),VIKAS ANAND,01-May-2020,30-Apr-2023,supanand@rediffmail.com
461,709,,GOLD LEAF INSURANCE BROKERS PRIVATE LIMITED,"B-115, P. No. 1, Bldg No. J1, Shram Siddhi vinayak Primises CHSL,  Wadala Truck Turminal Road, Mumbai MUMBAI MUMBAI 400001",9833449339,Direct Broker (General),Pramod Kumar Maheshwari,01-May-2020,30-Apr-2023,po@goldleafinsurance.in
462,710,,CHIRAG INSURANCE BROKERS PRIVATE LIMITED,"SHOP NO. 9 SHOPPING CENTER, SECTOR NO. 10 PATEL MARG CHAURAHA  MADHYAM MARG, MANSAROVAR JAIPUR JAIPUR 302020",9610432722,Direct Broker (Life & General),KANAK SINGH CHOUDHARY,04-May-2020,03-May-2023,info@chiraggroup.org
463,711,,SKYFIRE INSURANCE BROKING LLP,HERITAGE PLAZA OPP.INDIAN OIL COLONY J.P.ROAD  ANDHERI WEST MUMBAI MUMBAI MUMBAI 400053,9920406407,Direct Broker (Life & General),CHIRAG VOHRA,01-Jun-2020,31-May-2023,info@skyfireinsurance.in
464,712,,CLARION INSURANCE BROKING SERVICES PRIVATE LIMITED,"Office No. 905 9th Floor  Colonnade 2, B/h Rajpath Club, SG Highway AHMEDABAD AHMEDABAD 380054",9909011084,Direct Broker (General),SULAY PARIKH,08-Jun-2020,07-Jun-2023,gibrokerahd@gmail.com
465,713,,Swastika Insurance Broking Services Limited,forty eight jaora compound  myh road INDORE INDORE 452001,9131451616,Direct Broker (Life & General),SHREYA JAIN,08-Jun-2020,07-Jun-2023,compliance@swastika.co.in
466,714,,CAPVIRGO INSURANCE BROKING AND SERVICES PRIVATE LIMITED,"101/102, Calalily Z, XYZ CHS LTD Sector-2, Nahar Amrit Shakti, Chandivali Farm Road  Andheri (E) MUMBAI MUMBAI 400072",9769018164,Direct Broker (Life & General),Sanjay Nene,08-Jun-2020,07-Jun-2023,svnene@gmail.com
467,715,,AVIA INSURANCE BROKERS PRIVATE LIMITED,75 C PARK STREET UNIT 4/4  4TH FLOOR KOLKATA KOLKATA 700016,9831801169,Direct Broker (Life & General),MOUSUMI BANERJEE,08-Jun-2020,07-Jun-2023,info@aviainsurance.in
468,716,,Policy.Online Insurance Brokers Private Limited,"G-5, Vikas Deep Building Plot-18, Laxmi Nagar District Centre  Delhi-110092 DELHI EAST EAST DELHI 110092",1161400090,Direct Broker (Life & General),Sunil Gupta,10-Jun-2020,09-Jun-2023,po@policy.online
469,717,,Trustegic Insurance Broking LLP,"L-23086 16TH AVENUE, GAUR CITY 2  GREATER NOIDA WEST A.G.NIODA GAUTAM BUDDHA NAGAR 201009",8860625080,Direct Broker (General),ANIL KUMAR SINGH,10-Jun-2020,09-Jun-2023,ashutosh.rpr@gmail.com
470,718,,RELITRADE INSURANCE BROKING PVT LTD,"Relitrade House Second Floor, O Block, Mondeal Retail Park,  Nr. Rajpath Club, S. G. Highway AHMEDABAD AHMEDABAD 380059",9978916200,Direct Broker (Life & General),ASHUTOSH B THAKKAR,03-Jul-2020,02-Jul-2023,ashutosh@policyklub.com
471,719,,TROTH INSURANCE BROKING AND CONSULTANTS LLP,"B-912/913, RATNAKAR NINE SQUARE OPP KESHAVBAUG PARTY PLOT  SHIVRANJANI AHMEDABAD AHMEDABAD 380015",9925331000,Direct Broker (Life & General),HIREN VORA,03-Jul-2020,02-Jul-2023,hiren.vora@troth.co.in
472,720,,HAMARA BIMA INSURANCE BROKERS PRIVATE LIMITED,"Block-A, 1st Floor 60, Electronic Complex  Pardeshipura INDORE INDORE 452010",9826399792,Direct Broker (General),D.S. BEDI,03-Jul-2020,02-Jul-2023,mail@hamarabima.com
473,721,,WEALTH GUARDIAN INSURANCE BROKERS PVT LTD,"B-64, SECOND FLOOR INDUSTRIAL AREA  PHASE 7 MOHALI MOHALI 160055",9501779779,Direct Broker (Life & General),SHAILENDER KUMAR,03-Jul-2020,02-Jul-2023,po.wealthchd@gmail.com
474,722,,DIOS INSURANCE BROKERS PRIVATE LIMITED,294-A AGGAR NAGAR  LUDHIANA LUDHIANA LUDHIANA 141012,9888710775,Direct Broker (Life & General),RAJEEV KUMAR MALHOTRA,03-Jul-2020,02-Jul-2023,rkmalhotra.nia@gmail.com
475,723,,Wallet Insurance Broking Pvt Ltd,"2nd Floor, East Wing 1-7-71/4, Above Syndicate  Bank,Street No.8Habsiguda HYDERABAD HYDERABAD 500007",,Direct Broker (Life & General),Vijayakumar Madhira,06-Jul-2020,05-Jul-2023,vijay@fundzcover.com
476,724,,RATNAAFIN INSURANCE BROKING PRIVATE LTD,"203,204 205 SHILP APERIA NR HOTEL LANDMARK  ISCON AMBLI ROAD, BODAKDEV AHMEDABAD AHMEDABAD 380052",9377026766,Direct Broker (Life & General),MANISHA PATEL,06-Jul-2020,05-Jul-2023,manisha@ratnaafin.com
477,725,,Brixton Insurance Broker Private Limited,NEW NO.101 ST.XAVIER STREET  SEVEN WELLS CHENNAI CHENNAI 600001,9884128820,Direct Broker (Life & General),Azharudeen A,25-Aug-2020,24-Aug-2023,azhar@policyinsure.com
478,726,,WINSTIC INSURANCE BROKERS  (INDIA) PRIVATE LIMITED,"3rd. Foor, Nobel enclave, Bhaiwala Chowk, Ferozepur Road,  Ludhiana LUDHIANA LUDHIANA 141001",9814020720,Direct Broker (General),Jatinder Kumar Kapur,26-Aug-2020,25-Aug-2023,parvesh.oriental@gmail.com
479,727,,IAND INSURANCE BROKER PRIVATE LIMITED,"1106, 11TH FLOOR D&C DYNASTY PLAZA  C G ROAD, STADIUM CIRCLE, NAVRANGPURA, AHMEDABAD AHMEDABAD 380009",8866938585,Direct Broker (Life & General),PRABHAT VIJH,26-Aug-2020,25-Aug-2023,iand.insuretech@gmail.com
480,728,,BLUEARMOUR INSURANCE BROKERS PRIVATE LIMITED,"333, Tower B Spazedge, Sector 47  Gurgaon GURGAON GURGAON 122018",9650067007,Direct Broker (General),SANDEEP KANNAN,26-Aug-2020,25-Aug-2023,kannan.sandy@gmail.com
481,729,,ACUVISOR INSURANCE BROKERS (INDIA) PRIVATE LIMITED,"D-64, 6D , Engineers Colony,  New Sanganer,Mansarovar JAIPUR JAIPUR 302020",9024250149,Direct Broker (Life & General),SUMAN SWARUP,16-Sep-2020,15-Sep-2023,sumanswarup27@gmail.com
482,730,,Goodx insurance brokers Pvt Ltd,"A - 67 Classic Appts., Plot no. 11  Sector - 22, Dwarka NEW DELHI SOUTH WEST DELHI 110075",9810353738,Direct Broker (General),Sanjeev Gujral,02-Nov-2020,01-Nov-2023,goodxinsurance@gmail.com
483,731,,SmartTech Insurance Brokers LLP,U 91 Krishna apartment 3rd Main Road  Anna Nagar CHENNAI CITY CORPORATION CHENNAI 600040,9840696067,Direct Broker (Life & General),A JEGANATHAN,24-Nov-2020,23-Nov-2023,jegana16@gmail.com
484,732,,ARMOURR INSURANCE BROKING PRIVATE LIMITED,3 SMRUTEEKUNJ COM COLLEGE ROAD OPPOSITE NAVGHAR BUS STOP  AHMEDABAD AHMEDABAD AHMEDABAD 380009,9167024312,Direct Broker (Life & General),Akashdeep Saini,11-Dec-2020,10-Dec-2023,insurance@armourrinsurance.com
